# file...... temperature.csv
# date...... Wed Dec 01 07:49:57 2010
# user...... D3P313
# host...... (null)
# target.... house 67
# trigger... (none)
# interval.. 60
# limit..... 100000
# timestamp,outdoor_temperature
2000-01-01 03:07:00 PST,+31.9224
2000-01-01 03:08:00 PST,+31.91
2000-01-01 03:09:00 PST,+31.8974
2000-01-01 03:10:00 PST,+31.8845
2000-01-01 03:11:00 PST,+31.8714
2000-01-01 03:12:00 PST,+31.858
2000-01-01 03:13:00 PST,+31.8444
2000-01-01 03:14:00 PST,+31.8305
2000-01-01 03:15:00 PST,+31.8164
2000-01-01 03:16:00 PST,+31.802
2000-01-01 03:17:00 PST,+31.7874
2000-01-01 03:18:00 PST,+31.7725
2000-01-01 03:19:00 PST,+31.7574
2000-01-01 03:20:00 PST,+31.742
2000-01-01 03:21:00 PST,+31.7264
2000-01-01 03:22:00 PST,+31.7105
2000-01-01 03:23:00 PST,+31.6944
2000-01-01 03:24:00 PST,+31.678
2000-01-01 03:25:00 PST,+31.6614
2000-01-01 03:26:00 PST,+31.6445
2000-01-01 03:27:00 PST,+31.6274
2000-01-01 03:28:00 PST,+31.61
2000-01-01 03:29:00 PST,+31.5924
2000-01-01 03:30:00 PST,+31.5745
2000-01-01 03:31:00 PST,+31.5564
2000-01-01 03:32:00 PST,+31.538
2000-01-01 03:33:00 PST,+31.5194
2000-01-01 03:34:00 PST,+31.5005
2000-01-01 03:35:00 PST,+31.4814
2000-01-01 03:36:00 PST,+31.462
2000-01-01 03:37:00 PST,+31.4424
2000-01-01 03:38:00 PST,+31.4225
2000-01-01 03:39:00 PST,+31.4024
2000-01-01 03:40:00 PST,+31.382
2000-01-01 03:41:00 PST,+31.3614
2000-01-01 03:42:00 PST,+31.3405
2000-01-01 03:43:00 PST,+31.3194
2000-01-01 03:44:00 PST,+31.298
2000-01-01 03:45:00 PST,+31.2764
2000-01-01 03:46:00 PST,+31.2545
2000-01-01 03:47:00 PST,+31.2324
2000-01-01 03:48:00 PST,+31.21
2000-01-01 03:49:00 PST,+31.1874
2000-01-01 03:50:00 PST,+31.1645
2000-01-01 03:51:00 PST,+31.1414
2000-01-01 03:52:00 PST,+31.118
2000-01-01 03:53:00 PST,+31.0944
2000-01-01 03:54:00 PST,+31.0705
2000-01-01 03:55:00 PST,+31.0464
2000-01-01 03:56:00 PST,+31.022
2000-01-01 03:57:00 PST,+30.9974
2000-01-01 03:58:00 PST,+30.9725
2000-01-01 03:59:00 PST,+30.9474
2000-01-01 04:00:00 PST,+30.922
2000-01-01 04:01:00 PST,+30.8801
2000-01-01 04:02:00 PST,+30.8386
2000-01-01 04:03:00 PST,+30.7973
2000-01-01 04:04:00 PST,+30.7564
2000-01-01 04:05:00 PST,+30.7157
2000-01-01 04:06:00 PST,+30.6754
2000-01-01 04:07:00 PST,+30.6353
2000-01-01 04:08:00 PST,+30.5956
2000-01-01 04:09:00 PST,+30.5561
2000-01-01 04:10:00 PST,+30.517
2000-01-01 04:11:00 PST,+30.4781
2000-01-01 04:12:00 PST,+30.4396
2000-01-01 04:13:00 PST,+30.4013
2000-01-01 04:14:00 PST,+30.3634
2000-01-01 04:15:00 PST,+30.3257
2000-01-01 04:16:00 PST,+30.2884
2000-01-01 04:17:00 PST,+30.2513
2000-01-01 04:18:00 PST,+30.2146
2000-01-01 04:19:00 PST,+30.1781
2000-01-01 04:20:00 PST,+30.142
2000-01-01 04:21:00 PST,+30.1061
2000-01-01 04:22:00 PST,+30.0706
2000-01-01 04:23:00 PST,+30.0353
2000-01-01 04:24:00 PST,+30.0004
2000-01-01 04:25:00 PST,+29.9657
2000-01-01 04:26:00 PST,+29.9314
2000-01-01 04:27:00 PST,+29.8973
2000-01-01 04:28:00 PST,+29.8636
2000-01-01 04:29:00 PST,+29.8301
2000-01-01 04:30:00 PST,+29.797
2000-01-01 04:31:00 PST,+29.7641
2000-01-01 04:32:00 PST,+29.7316
2000-01-01 04:33:00 PST,+29.6993
2000-01-01 04:34:00 PST,+29.6674
2000-01-01 04:35:00 PST,+29.6357
2000-01-01 04:36:00 PST,+29.6044
2000-01-01 04:37:00 PST,+29.5733
2000-01-01 04:38:00 PST,+29.5426
2000-01-01 04:39:00 PST,+29.5121
2000-01-01 04:40:00 PST,+29.482
2000-01-01 04:41:00 PST,+29.4521
2000-01-01 04:42:00 PST,+29.4226
2000-01-01 04:43:00 PST,+29.3933
2000-01-01 04:44:00 PST,+29.3644
2000-01-01 04:45:00 PST,+29.3357
2000-01-01 04:46:00 PST,+29.3074
2000-01-01 04:47:00 PST,+29.2793
2000-01-01 04:48:00 PST,+29.2516
2000-01-01 04:49:00 PST,+29.2241
2000-01-01 04:50:00 PST,+29.197
2000-01-01 04:51:00 PST,+29.1701
2000-01-01 04:52:00 PST,+29.1436
2000-01-01 04:53:00 PST,+29.1173
2000-01-01 04:54:00 PST,+29.0914
2000-01-01 04:55:00 PST,+29.0657
2000-01-01 04:56:00 PST,+29.0404
2000-01-01 04:57:00 PST,+29.0153
2000-01-01 04:58:00 PST,+28.9906
2000-01-01 04:59:00 PST,+28.9661
2000-01-01 05:00:00 PST,+28.942
2000-01-01 05:01:00 PST,+28.9034
2000-01-01 05:02:00 PST,+28.8656
2000-01-01 05:03:00 PST,+28.8286
2000-01-01 05:04:00 PST,+28.7924
2000-01-01 05:05:00 PST,+28.757
2000-01-01 05:06:00 PST,+28.7224
2000-01-01 05:07:00 PST,+28.6886
2000-01-01 05:08:00 PST,+28.6556
2000-01-01 05:09:00 PST,+28.6234
2000-01-01 05:10:00 PST,+28.592
2000-01-01 05:11:00 PST,+28.5614
2000-01-01 05:12:00 PST,+28.5316
2000-01-01 05:13:00 PST,+28.5026
2000-01-01 05:14:00 PST,+28.4744
2000-01-01 05:15:00 PST,+28.447
2000-01-01 05:16:00 PST,+28.4204
2000-01-01 05:17:00 PST,+28.3946
2000-01-01 05:18:00 PST,+28.3696
2000-01-01 05:19:00 PST,+28.3454
2000-01-01 05:20:00 PST,+28.322
2000-01-01 05:21:00 PST,+28.2994
2000-01-01 05:22:00 PST,+28.2776
2000-01-01 05:23:00 PST,+28.2566
2000-01-01 05:24:00 PST,+28.2364
2000-01-01 05:25:00 PST,+28.217
2000-01-01 05:26:00 PST,+28.1984
2000-01-01 05:27:00 PST,+28.1806
2000-01-01 05:28:00 PST,+28.1636
2000-01-01 05:29:00 PST,+28.1474
2000-01-01 05:30:00 PST,+28.132
2000-01-01 05:31:00 PST,+28.1174
2000-01-01 05:32:00 PST,+28.1036
2000-01-01 05:33:00 PST,+28.0906
2000-01-01 05:34:00 PST,+28.0784
2000-01-01 05:35:00 PST,+28.067
2000-01-01 05:36:00 PST,+28.0564
2000-01-01 05:37:00 PST,+28.0466
2000-01-01 05:38:00 PST,+28.0376
2000-01-01 05:39:00 PST,+28.0294
2000-01-01 05:40:00 PST,+28.022
2000-01-01 05:41:00 PST,+28.0154
2000-01-01 05:42:00 PST,+28.0096
2000-01-01 05:43:00 PST,+28.0046
2000-01-01 05:44:00 PST,+28.0004
2000-01-01 05:45:00 PST,+27.997
2000-01-01 05:46:00 PST,+27.9944
2000-01-01 05:47:00 PST,+27.9926
2000-01-01 05:48:00 PST,+27.9916
2000-01-01 05:49:00 PST,+27.9914
2000-01-01 05:50:00 PST,+27.992
2000-01-01 05:51:00 PST,+27.9934
2000-01-01 05:52:00 PST,+27.9956
2000-01-01 05:53:00 PST,+27.9986
2000-01-01 05:54:00 PST,+28.0024
2000-01-01 05:55:00 PST,+28.007
2000-01-01 05:56:00 PST,+28.0124
2000-01-01 05:57:00 PST,+28.0186
2000-01-01 05:58:00 PST,+28.0256
2000-01-01 05:59:00 PST,+28.0334
2000-01-01 06:00:00 PST,+28.042
2000-01-01 06:01:00 PST,+28.0838
2000-01-01 06:02:00 PST,+28.1254
2000-01-01 06:03:00 PST,+28.1666
2000-01-01 06:04:00 PST,+28.2076
2000-01-01 06:05:00 PST,+28.2482
2000-01-01 06:06:00 PST,+28.2886
2000-01-01 06:07:00 PST,+28.3286
2000-01-01 06:08:00 PST,+28.3684
2000-01-01 06:09:00 PST,+28.4078
2000-01-01 06:10:00 PST,+28.447
2000-01-01 06:11:00 PST,+28.4858
2000-01-01 06:12:00 PST,+28.5244
2000-01-01 06:13:00 PST,+28.5626
2000-01-01 06:14:00 PST,+28.6006
2000-01-01 06:15:00 PST,+28.6382
2000-01-01 06:16:00 PST,+28.6756
2000-01-01 06:17:00 PST,+28.7126
2000-01-01 06:18:00 PST,+28.7494
2000-01-01 06:19:00 PST,+28.7858
2000-01-01 06:20:00 PST,+28.822
2000-01-01 06:21:00 PST,+28.8578
2000-01-01 06:22:00 PST,+28.8934
2000-01-01 06:23:00 PST,+28.9286
2000-01-01 06:24:00 PST,+28.9636
2000-01-01 06:25:00 PST,+28.9982
2000-01-01 06:26:00 PST,+29.0326
2000-01-01 06:27:00 PST,+29.0666
2000-01-01 06:28:00 PST,+29.1004
2000-01-01 06:29:00 PST,+29.1338
2000-01-01 06:30:00 PST,+29.167
2000-01-01 06:31:00 PST,+29.1998
2000-01-01 06:32:00 PST,+29.2324
2000-01-01 06:33:00 PST,+29.2646
2000-01-01 06:34:00 PST,+29.2966
2000-01-01 06:35:00 PST,+29.3282
2000-01-01 06:36:00 PST,+29.3596
2000-01-01 06:37:00 PST,+29.3906
2000-01-01 06:38:00 PST,+29.4214
2000-01-01 06:39:00 PST,+29.4518
2000-01-01 06:40:00 PST,+29.482
2000-01-01 06:41:00 PST,+29.5118
2000-01-01 06:42:00 PST,+29.5414
2000-01-01 06:43:00 PST,+29.5706
2000-01-01 06:44:00 PST,+29.5996
2000-01-01 06:45:00 PST,+29.6282
2000-01-01 06:46:00 PST,+29.6566
2000-01-01 06:47:00 PST,+29.6846
2000-01-01 06:48:00 PST,+29.7124
2000-01-01 06:49:00 PST,+29.7398
2000-01-01 06:50:00 PST,+29.767
2000-01-01 06:51:00 PST,+29.7938
2000-01-01 06:52:00 PST,+29.8204
2000-01-01 06:53:00 PST,+29.8466
2000-01-01 06:54:00 PST,+29.8726
2000-01-01 06:55:00 PST,+29.8982
2000-01-01 06:56:00 PST,+29.9236
2000-01-01 06:57:00 PST,+29.9486
2000-01-01 06:58:00 PST,+29.9734
2000-01-01 06:59:00 PST,+29.9978
2000-01-01 07:00:00 PST,+30.022
2000-01-01 07:01:00 PST,+30.0193
2000-01-01 07:02:00 PST,+30.0172
2000-01-01 07:03:00 PST,+30.0157
2000-01-01 07:04:00 PST,+30.0148
2000-01-01 07:05:00 PST,+30.0145
2000-01-01 07:06:00 PST,+30.0148
2000-01-01 07:07:00 PST,+30.0157
2000-01-01 07:08:00 PST,+30.0172
2000-01-01 07:09:00 PST,+30.0193
2000-01-01 07:10:00 PST,+30.022
2000-01-01 07:11:00 PST,+30.0253
2000-01-01 07:12:00 PST,+30.0292
2000-01-01 07:13:00 PST,+30.0337
2000-01-01 07:14:00 PST,+30.0388
2000-01-01 07:15:00 PST,+30.0445
2000-01-01 07:16:00 PST,+30.0508
2000-01-01 07:17:00 PST,+30.0577
2000-01-01 07:18:00 PST,+30.0652
2000-01-01 07:19:00 PST,+30.0733
