# file...... b2m3_house_data.csv
# date...... Thu Jun  9 10:40:14 2016
# user...... hard312
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,b2m3_house:air_temperature, b2m3_house:outdoor_temperature, b2m3_house:is_COOL_on, b2m3_house:cooling_setpoint, b2m3_house_meter:measured_real_power, b2m3_house_meter:measured_real_energy
2009-08-08 20:49:00 PDT,+94.0955,+71.59,+0,+75,+1709.11,+21763.3
2009-08-08 20:50:00 PDT,+94.0566,+71.542,+0,+75,+1709.11,+21791.8
2009-08-08 20:51:00 PDT,+94.0177,+71.494,+0,+75,+1709.11,+21820.3
2009-08-08 20:52:00 PDT,+93.9787,+71.446,+0,+75,+1709.11,+21848.8
2009-08-08 20:53:00 PDT,+93.9397,+71.398,+0,+75,+1709.11,+21877.3
2009-08-08 20:54:00 PDT,+93.9007,+71.35,+0,+75,+1709.11,+21905.8
2009-08-08 20:55:00 PDT,+93.8616,+71.302,+0,+75,+1709.11,+21934.2
2009-08-08 20:56:00 PDT,+93.8225,+71.254,+0,+75,+1709.11,+21962.7
2009-08-08 20:57:00 PDT,+93.7834,+71.206,+0,+75,+1709.11,+21991.2
2009-08-08 20:58:00 PDT,+93.7443,+71.158,+0,+75,+1709.11,+22019.7
2009-08-08 20:59:00 PDT,+93.7052,+71.11,+0,+75,+1709.11,+22048.2
2009-08-08 21:00:00 PDT,+93.666,+71.062,+0,+75,+1709.11,+22076.7
2009-08-08 21:01:00 PDT,+93.6268,+71.095,+0,+75,+1709.11,+22105.2
2009-08-08 21:02:00 PDT,+93.5885,+71.128,+0,+75,+1709.11,+22133.6
2009-08-08 21:03:00 PDT,+93.5509,+71.161,+0,+75,+1709.11,+22162.1
2009-08-08 21:04:00 PDT,+93.5139,+71.194,+0,+75,+1709.11,+22190.6
2009-08-08 21:05:00 PDT,+93.4775,+71.227,+0,+75,+1709.11,+22219.1
2009-08-08 21:06:00 PDT,+93.4416,+71.26,+0,+75,+1709.11,+22247.6
2009-08-08 21:07:00 PDT,+93.406,+71.293,+0,+75,+1709.11,+22276.1
2009-08-08 21:08:00 PDT,+93.3709,+71.326,+0,+75,+1709.11,+22304.6
2009-08-08 21:09:00 PDT,+93.336,+71.359,+0,+75,+1709.11,+22333
2009-08-08 21:10:00 PDT,+93.3015,+71.392,+0,+75,+1709.11,+22361.5
2009-08-08 21:11:00 PDT,+93.2672,+71.425,+0,+75,+1709.11,+22390
2009-08-08 21:12:00 PDT,+93.2331,+71.458,+0,+75,+1709.11,+22418.5
2009-08-08 21:13:00 PDT,+93.1993,+71.491,+0,+75,+1709.11,+22447
2009-08-08 21:14:00 PDT,+93.1657,+71.524,+0,+75,+1709.11,+22475.5
2009-08-08 21:15:00 PDT,+93.1323,+71.557,+0,+75,+1709.11,+22503.9
2009-08-08 21:16:00 PDT,+93.0991,+71.59,+0,+75,+1709.11,+22532.4
2009-08-08 21:17:00 PDT,+93.0661,+71.623,+0,+75,+1709.11,+22560.9
2009-08-08 21:18:00 PDT,+93.0332,+71.656,+0,+75,+1709.11,+22589.4
2009-08-08 21:19:00 PDT,+93.0005,+71.689,+0,+75,+1709.11,+22617.9
2009-08-08 21:20:00 PDT,+92.968,+71.722,+0,+75,+1709.11,+22646.4
2009-08-08 21:21:00 PDT,+92.9356,+71.755,+0,+75,+1709.11,+22674.9
2009-08-08 21:22:00 PDT,+92.9034,+71.788,+0,+75,+1709.11,+22703.3
2009-08-08 21:23:00 PDT,+92.8714,+71.821,+0,+75,+1709.11,+22731.8
2009-08-08 21:24:00 PDT,+92.8395,+71.854,+0,+75,+1709.11,+22760.3
2009-08-08 21:25:00 PDT,+92.8078,+71.887,+0,+75,+1709.11,+22788.8
2009-08-08 21:26:00 PDT,+92.7762,+71.92,+0,+75,+1709.11,+22817.3
2009-08-08 21:27:00 PDT,+92.7448,+71.953,+0,+75,+1709.11,+22845.8
2009-08-08 21:28:00 PDT,+92.7135,+71.986,+0,+75,+1709.11,+22874.3
2009-08-08 21:29:00 PDT,+92.6823,+72.019,+0,+75,+1709.11,+22902.7
2009-08-08 21:30:00 PDT,+92.6513,+72.052,+0,+75,+1709.11,+22931.2
2009-08-08 21:31:00 PDT,+92.6205,+72.085,+0,+75,+1709.11,+22959.7
2009-08-08 21:32:00 PDT,+92.5898,+72.118,+0,+75,+1709.11,+22988.2
2009-08-08 21:33:00 PDT,+92.5592,+72.151,+0,+75,+1709.11,+23016.7
2009-08-08 21:34:00 PDT,+92.5288,+72.184,+0,+75,+1709.11,+23045.2
2009-08-08 21:35:00 PDT,+92.4986,+72.217,+0,+75,+1572.46,+23073.7
2009-08-08 21:36:00 PDT,+92.4657,+72.25,+0,+75,+1572.46,+23099.9
2009-08-08 21:37:00 PDT,+92.4333,+72.283,+0,+75,+1572.46,+23126.1
2009-08-08 21:38:00 PDT,+92.4013,+72.316,+0,+75,+1572.46,+23152.3
2009-08-08 21:39:00 PDT,+92.3697,+72.349,+0,+75,+1572.46,+23178.5
2009-08-08 21:40:00 PDT,+92.3384,+72.382,+0,+75,+1572.46,+23204.7
2009-08-08 21:41:00 PDT,+92.3073,+72.415,+0,+75,+1572.46,+23230.9
2009-08-08 21:42:00 PDT,+92.2765,+72.448,+0,+75,+1572.46,+23257.1
2009-08-08 21:43:00 PDT,+92.2459,+72.481,+0,+75,+1572.46,+23283.3
2009-08-08 21:44:00 PDT,+92.2155,+72.514,+0,+75,+1572.46,+23309.5
2009-08-08 21:45:00 PDT,+92.1854,+72.547,+0,+75,+1572.46,+23335.7
2009-08-08 21:46:00 PDT,+92.1554,+72.58,+0,+75,+1572.46,+23361.9
2009-08-08 21:47:00 PDT,+92.1256,+72.613,+0,+75,+1572.46,+23388.1
2009-08-08 21:48:00 PDT,+92.096,+72.646,+0,+75,+1572.46,+23414.4
2009-08-08 21:49:00 PDT,+92.0665,+72.679,+0,+75,+1572.46,+23440.6
2009-08-08 21:50:00 PDT,+92.0372,+72.712,+0,+75,+1572.46,+23466.8
2009-08-08 21:51:00 PDT,+92.0081,+72.745,+0,+75,+1572.46,+23493
2009-08-08 21:52:00 PDT,+91.9791,+72.778,+0,+75,+1572.46,+23519.2
2009-08-08 21:53:00 PDT,+91.9503,+72.811,+0,+75,+1572.46,+23545.4
2009-08-08 21:54:00 PDT,+91.9216,+72.844,+0,+75,+1572.46,+23571.6
2009-08-08 21:55:00 PDT,+91.8931,+72.877,+0,+75,+1572.46,+23597.8
2009-08-08 21:56:00 PDT,+91.8647,+72.91,+0,+75,+1572.46,+23624
2009-08-08 21:57:00 PDT,+91.8364,+72.943,+0,+75,+1572.46,+23650.2
2009-08-08 21:58:00 PDT,+91.8083,+72.976,+0,+75,+1572.46,+23676.4
2009-08-08 21:59:00 PDT,+91.7804,+73.009,+0,+75,+1572.46,+23702.6
2009-08-08 22:00:00 PDT,+91.7525,+73.042,+0,+75,+1572.46,+23728.8
2009-08-08 22:01:00 PDT,+91.7249,+73.024,+0,+75,+1572.46,+23755
2009-08-08 22:02:00 PDT,+91.6968,+73.006,+0,+75,+1572.46,+23781.3
2009-08-08 22:03:00 PDT,+91.6683,+72.988,+0,+75,+1572.46,+23807.5
