# file...... HVAC_Data.csv
# date...... Tue Nov 02 09:17:01 2010
# user...... D3P313
# host...... (null)
# group..... class=house
# trigger... (none)
# interval.. 60
# limit..... 2880
# property.. timestamp,sum(hvac_power.real),sum(hvac_power.imag),sum(is_HEAT_on),sum(is_AUX_on),sum(is_COOL_on) 
2000-08-01 01:48:00 PDT,+11.7712,+3.43325,+39,+0,+0
2000-08-01 01:49:00 PDT,+9.01756,+2.63012,+30,+0,+0
2000-08-01 01:50:00 PDT,+7.65418,+2.23247,+25,+0,+0
2000-08-01 01:51:00 PDT,+9.66295,+2.81836,+31,+0,+0
2000-08-01 01:52:00 PDT,+7.54063,+2.19935,+24,+0,+0
2000-08-01 01:53:00 PDT,+6.90226,+2.01316,+23,+0,+0
2000-08-01 01:54:00 PDT,+9.13155,+2.66337,+30,+0,+0
2000-08-01 01:55:00 PDT,+7.96463,+2.32302,+26,+0,+0
2000-08-01 01:56:00 PDT,+7.86054,+2.29266,+26,+0,+0
2000-08-01 01:57:00 PDT,+8.28475,+2.41639,+27,+0,+0
2000-08-01 01:58:00 PDT,+8.81061,+2.56976,+28,+0,+0
2000-08-01 01:59:00 PDT,+10.1879,+2.97147,+33,+0,+0
2000-08-01 02:00:00 PDT,+7.00321,+2.0426,+23,+0,+0
2000-08-01 02:01:00 PDT,+7.10696,+2.07286,+24,+0,+0
2000-08-01 02:02:00 PDT,+9.86551,+2.87744,+33,+0,+0
2000-08-01 02:03:00 PDT,+10.0719,+2.93765,+33,+0,+0
2000-08-01 02:04:00 PDT,+9.32684,+2.72033,+31,+0,+0
2000-08-01 02:05:00 PDT,+9.43098,+2.7507,+31,+0,+0
2000-08-01 02:06:00 PDT,+7.73461,+2.25593,+25,+0,+0
2000-08-01 02:07:00 PDT,+9.31979,+2.71827,+30,+0,+0
2000-08-01 02:08:00 PDT,+10.061,+2.93447,+33,+0,+0
2000-08-01 02:09:00 PDT,+12.2997,+3.5874,+41,+0,+0
2000-08-01 02:10:00 PDT,+11.3481,+3.30985,+38,+0,+0
2000-08-01 02:11:00 PDT,+8.68887,+2.53425,+29,+0,+0
2000-08-01 02:12:00 PDT,+8.90188,+2.59638,+30,+0,+0
2000-08-01 02:13:00 PDT,+9.22292,+2.69002,+31,+0,+0
2000-08-01 02:14:00 PDT,+13.9661,+3.92221,+35,+0,+1
2000-08-01 02:15:00 PDT,+13.7538,+3.86035,+35,+0,+1
2000-08-01 02:16:00 PDT,+14.9281,+4.20288,+38,+0,+1
2000-08-01 02:17:00 PDT,+10.5076,+3.06471,+35,+0,+0
2000-08-01 02:18:00 PDT,+10.0814,+2.94042,+34,+0,+0
2000-08-01 02:19:00 PDT,+12.9322,+3.7719,+44,+0,+0
2000-08-01 02:20:00 PDT,+13.2476,+3.86389,+45,+0,+0
2000-08-01 02:21:00 PDT,+11.5504,+3.36887,+39,+0,+0
2000-08-01 02:22:00 PDT,+12.9199,+3.76831,+43,+0,+0
2000-08-01 02:23:00 PDT,+11.313,+3.29963,+37,+0,+0
2000-08-01 02:24:00 PDT,+10.8937,+3.17733,+36,+0,+0
2000-08-01 02:25:00 PDT,+13.4467,+3.92197,+44,+0,+0
2000-08-01 02:26:00 PDT,+10.9165,+3.18399,+36,+0,+0
2000-08-01 02:27:00 PDT,+8.58384,+2.50362,+28,+0,+0
2000-08-01 02:28:00 PDT,+9.85841,+2.87537,+33,+0,+0
2000-08-01 02:29:00 PDT,+12.5059,+3.64754,+42,+0,+0
2000-08-01 02:30:00 PDT,+10.8009,+3.15025,+36,+0,+0
2000-08-01 02:31:00 PDT,+9.84611,+2.87178,+33,+0,+0
2000-08-01 02:32:00 PDT,+9.63706,+2.81081,+32,+0,+0
2000-08-01 02:33:00 PDT,+9.42348,+2.74852,+31,+0,+0
2000-08-01 02:34:00 PDT,+10.5758,+3.08462,+35,+0,+0
2000-08-01 02:35:00 PDT,+11.2122,+3.27022,+37,+0,+0
2000-08-01 02:36:00 PDT,+13.1148,+3.82516,+43,+0,+0
2000-08-01 02:37:00 PDT,+10.3612,+3.02202,+34,+0,+0
2000-08-01 02:38:00 PDT,+10.3674,+3.02383,+35,+0,+0
2000-08-01 02:39:00 PDT,+10.2622,+2.99314,+35,+0,+0
2000-08-01 02:40:00 PDT,+9.63574,+2.81042,+32,+0,+0
2000-08-01 02:41:00 PDT,+10.2685,+2.99498,+34,+0,+0
2000-08-01 02:42:00 PDT,+9.52456,+2.778,+32,+0,+0
2000-08-01 02:43:00 PDT,+10.5812,+3.08618,+36,+0,+0
2000-08-01 02:44:00 PDT,+11.4279,+3.33314,+38,+0,+0
2000-08-01 02:45:00 PDT,+10.7947,+3.14847,+36,+0,+0
2000-08-01 02:46:00 PDT,+12.3863,+3.61266,+41,+0,+0
2000-08-01 02:47:00 PDT,+13.3407,+3.89104,+44,+0,+0
2000-08-01 02:48:00 PDT,+12.056,+3.51632,+40,+0,+0
2000-08-01 02:49:00 PDT,+11.4069,+3.32702,+38,+0,+0
2000-08-01 02:50:00 PDT,+12.2637,+3.57691,+41,+0,+0
2000-08-01 02:51:00 PDT,+12.2691,+3.57849,+42,+0,+0
2000-08-01 02:52:00 PDT,+10.9936,+3.20647,+38,+0,+0
2000-08-01 02:53:00 PDT,+10.4724,+3.05444,+36,+0,+0
2000-08-01 02:54:00 PDT,+8.77753,+2.56011,+30,+0,+0
2000-08-01 02:55:00 PDT,+9.83824,+2.86949,+33,+0,+0
2000-08-01 02:56:00 PDT,+11.5378,+3.36518,+37,+0,+0
2000-08-01 02:57:00 PDT,+11.2148,+3.27098,+36,+0,+0
2000-08-01 02:58:00 PDT,+10.7867,+3.14613,+36,+0,+0
2000-08-01 02:59:00 PDT,+12.4661,+3.63596,+42,+0,+0
2000-08-01 03:00:00 PDT,+13.6172,+3.97169,+46,+0,+0
2000-08-01 03:01:00 PDT,+14.2555,+4.15786,+48,+0,+0
2000-08-01 03:02:00 PDT,+13.5197,+3.94326,+46,+0,+0
2000-08-01 03:03:00 PDT,+14.3571,+4.18749,+48,+0,+0
2000-08-01 03:04:00 PDT,+14.0573,+4.10005,+47,+0,+0
2000-08-01 03:05:00 PDT,+15.4301,+4.50046,+51,+0,+0
2000-08-01 03:06:00 PDT,+15.9577,+4.65433,+52,+0,+0
2000-08-01 03:07:00 PDT,+15.4369,+4.50242,+51,+0,+0
2000-08-01 03:08:00 PDT,+15.2261,+4.44095,+50,+0,+0
2000-08-01 03:09:00 PDT,+14.5963,+4.25725,+47,+0,+0
2000-08-01 03:10:00 PDT,+12.797,+3.73246,+42,+0,+0
2000-08-01 03:11:00 PDT,+9.94314,+2.90008,+34,+0,+0
2000-08-01 03:12:00 PDT,+9.62231,+2.80651,+33,+0,+0
2000-08-01 03:13:00 PDT,+12.2662,+3.57764,+42,+0,+0
2000-08-01 03:14:00 PDT,+13.6418,+3.97885,+46,+0,+0
2000-08-01 03:15:00 PDT,+13.3279,+3.88729,+45,+0,+0
2000-08-01 03:16:00 PDT,+14.695,+4.28605,+50,+0,+0
2000-08-01 03:17:00 PDT,+14.5892,+4.2552,+49,+0,+0
2000-08-01 03:18:00 PDT,+15.0057,+4.37665,+50,+0,+0
2000-08-01 03:19:00 PDT,+13.1048,+3.82224,+45,+0,+0
2000-08-01 03:20:00 PDT,+12.7972,+3.73252,+45,+0,+0
2000-08-01 03:21:00 PDT,+11.7384,+3.4237,+40,+0,+0
2000-08-01 03:22:00 PDT,+10.998,+3.20774,+38,+0,+0
2000-08-01 03:23:00 PDT,+12.2611,+3.57614,+42,+0,+0
2000-08-01 03:24:00 PDT,+12.6846,+3.69966,+42,+0,+0
2000-08-01 03:25:00 PDT,+14.2633,+4.16012,+48,+0,+0
2000-08-01 03:26:00 PDT,+13.0985,+3.82039,+44,+0,+0
2000-08-01 03:27:00 PDT,+14.9008,+4.34606,+49,+0,+0
2000-08-01 03:28:00 PDT,+13.4296,+3.91697,+44,+0,+0
2000-08-01 03:29:00 PDT,+10.4684,+3.05329,+34,+0,+0
2000-08-01 03:30:00 PDT,+11.6269,+3.39118,+39,+0,+0
