# file...... energy.csv
# date...... Thu Apr 16 10:10:27 2009
# user...... D3G637
# host...... (null)
# target.... waterheater 1
# trigger... (none)
# interval.. -1
# limit..... 8760
# timestamp,power
2001-04-06 09:33:17 PST,+4.5+0j
2001-04-07 05:35:57 PST,+0+0j
2001-04-07 05:43:36 PST,+4.5+0j
2001-04-08 00:20:49 PST,+0+0j
2001-04-08 00:28:28 PST,+4.5+0j
2001-04-08 00:30:05 PST,+0+0j
2001-04-08 20:42:35 PDT,+4.5+0j
2001-04-08 20:44:06 PDT,+0+0j
2001-04-09 15:57:50 PDT,+4.5+0j
2001-04-09 15:59:18 PDT,+0+0j
2001-04-10 11:35:14 PDT,+4.5+0j
2001-04-11 07:15:27 PDT,+0+0j
2001-04-11 07:42:24 PDT,+4.5+0j
2001-04-12 03:21:06 PDT,+0+0j
2001-04-12 03:28:45 PDT,+4.5+0j
2001-04-12 03:30:20 PDT,+0+0j
2001-04-12 22:42:58 PDT,+4.5+0j
2001-04-12 22:44:34 PDT,+0+0j
2001-04-13 17:56:31 PDT,+4.5+0j
2001-04-14 13:33:23 PDT,+0+0j
2001-04-14 13:41:02 PDT,+4.5+0j
2001-04-14 13:42:30 PDT,+0+0j
2001-04-15 09:17:49 PDT,+4.5+0j
2001-04-16 04:56:49 PDT,+0+0j
2001-04-16 05:14:15 PDT,+4.5+0j
