# file...... HVAC_Data2.csv
# date...... Tue Nov 02 09:17:01 2010
# user...... D3P313
# host...... (null)
# group..... class=house
# trigger... (none)
# interval.. 60
# limit..... 2880
# property.. timestamp,avg(cooling_setpoint),sum(hvac_load)
2000-08-01 04:05:00 PDT,+71.4669,+13.134
2000-08-01 04:06:00 PDT,+71.4669,+11.0148
2000-08-01 04:07:00 PDT,+71.4669,+12.3905
2000-08-01 04:08:00 PDT,+71.4669,+11.6502
2000-08-01 04:09:00 PDT,+71.4669,+13.9789
2000-08-01 04:10:00 PDT,+71.4669,+15.8838
2000-08-01 04:11:00 PDT,+71.4669,+14.2982
2000-08-01 04:12:00 PDT,+71.4669,+13.8763
2000-08-01 04:13:00 PDT,+71.4669,+13.6628
2000-08-01 04:14:00 PDT,+71.4669,+12.1793
2000-08-01 04:15:00 PDT,+71.4669,+10.8015
2000-08-01 04:16:00 PDT,+71.4669,+10.8024
2000-08-01 04:17:00 PDT,+71.4669,+12.6029
2000-08-01 04:18:00 PDT,+71.4669,+13.7679
2000-08-01 04:19:00 PDT,+71.4669,+13.8735
2000-08-01 04:20:00 PDT,+71.4669,+14.4035
2000-08-01 04:21:00 PDT,+71.4669,+12.9204
2000-08-01 04:22:00 PDT,+71.4669,+11.226
2000-08-01 04:23:00 PDT,+71.4669,+11.2271
2000-08-01 04:24:00 PDT,+71.4669,+11.5451
2000-08-01 04:25:00 PDT,+71.8723,+11.4384
2000-08-01 04:26:00 PDT,+71.8723,+13.4505
2000-08-01 04:27:00 PDT,+71.8723,+15.8868
2000-08-01 04:28:00 PDT,+71.8723,+15.8863
2000-08-01 04:29:00 PDT,+71.8723,+15.78
2000-08-01 04:30:00 PDT,+71.8723,+16.6273
2000-08-01 04:31:00 PDT,+71.8723,+15.5656
2000-08-01 04:32:00 PDT,+71.8723,+13.3417
2000-08-01 04:33:00 PDT,+71.8723,+12.7073
2000-08-01 04:34:00 PDT,+71.8723,+12.0715
2000-08-01 04:35:00 PDT,+71.8723,+13.5552
2000-08-01 04:36:00 PDT,+71.8723,+15.6725
2000-08-01 04:37:00 PDT,+71.8723,+14.2975
2000-08-01 04:38:00 PDT,+71.8723,+13.5571
2000-08-01 04:39:00 PDT,+71.8723,+13.3445
2000-08-01 04:40:00 PDT,+71.8723,+13.2398
2000-08-01 04:41:00 PDT,+71.8723,+13.2397
2000-08-01 04:42:00 PDT,+71.8723,+12.8154
2000-08-01 04:43:00 PDT,+71.8723,+11.6516
2000-08-01 04:44:00 PDT,+71.8723,+12.0743
2000-08-01 04:45:00 PDT,+72.2252,+14.1948
2000-08-01 04:46:00 PDT,+72.2252,+11.3344
2000-08-01 04:47:00 PDT,+72.2252,+9.85139
2000-08-01 04:48:00 PDT,+72.2252,+11.6513
2000-08-01 04:49:00 PDT,+72.2252,+13.3463
2000-08-01 04:50:00 PDT,+72.2252,+11.7569
2000-08-01 04:51:00 PDT,+72.2252,+10.9081
2000-08-01 04:52:00 PDT,+72.2252,+10.2731
2000-08-01 04:53:00 PDT,+72.2252,+9.3224
2000-08-01 04:54:00 PDT,+72.2252,+10.8056
2000-08-01 04:55:00 PDT,+72.2252,+8.58081
2000-08-01 04:56:00 PDT,+72.2252,+9.10713
2000-08-01 04:57:00 PDT,+72.2252,+10.1654
2000-08-01 04:58:00 PDT,+72.2252,+9.31781
2000-08-01 04:59:00 PDT,+72.2252,+8.99923
2000-08-01 05:00:00 PDT,+72.1089,+6.77601
2000-08-01 05:01:00 PDT,+72.1089,+8.78668
2000-08-01 05:02:00 PDT,+72.1089,+12.2805
2000-08-01 05:03:00 PDT,+72.1089,+13.2316
2000-08-01 05:04:00 PDT,+72.1089,+9.31504
2000-08-01 05:05:00 PDT,+72.1165,+7.4115
2000-08-01 05:06:00 PDT,+72.1165,+7.51825
2000-08-01 05:07:00 PDT,+72.1165,+7.83628
2000-08-01 05:08:00 PDT,+72.1165,+8.15439
2000-08-01 05:09:00 PDT,+72.1165,+7.62461
2000-08-01 05:10:00 PDT,+72.1165,+7.62327
2000-08-01 05:11:00 PDT,+72.1165,+6.98791
2000-08-01 05:12:00 PDT,+72.1165,+6.45917
2000-08-01 05:13:00 PDT,+72.1165,+5.717
2000-08-01 05:14:00 PDT,+72.1165,+4.55306
2000-08-01 05:15:00 PDT,+72.1165,+7.62392
2000-08-01 05:16:00 PDT,+72.1165,+6.14053
2000-08-01 05:17:00 PDT,+72.1165,+4.34076
2000-08-01 05:18:00 PDT,+72.1165,+6.56489
2000-08-01 05:19:00 PDT,+72.1165,+5.71724
2000-08-01 05:20:00 PDT,+72.1165,+6.03492
2000-08-01 05:21:00 PDT,+72.1165,+5.61129
2000-08-01 05:22:00 PDT,+72.1165,+5.6109
2000-08-01 05:23:00 PDT,+72.1165,+6.98682
2000-08-01 05:24:00 PDT,+72.1165,+6.3511
2000-08-01 05:25:00 PDT,+72.1165,+4.44538
2000-08-01 05:26:00 PDT,+72.1165,+3.17548
2000-08-01 05:27:00 PDT,+72.1165,+4.12807
2000-08-01 05:28:00 PDT,+72.1165,+4.76323
2000-08-01 05:29:00 PDT,+72.1165,+5.60928
