# file...... meter_voltages.csv
# date...... Thu Jun 23 11:28:19 2016
# user...... hard312
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,branch_1_meter_1a:measured_voltage_A.real,branch_1_meter_1a:measured_voltage_A.imag,branch_1_meter_1b:measured_voltage_A, branch_1_meter_1b:measured_voltage_A.real,branch_1_meter_1b:measured_voltage_A.imag,branch_2_meter_1:measured_voltage_A, branch_1_meter_2:measured_voltage_A, branch_2_meter_2:measured_voltage_A, branch_1_meter_3:measured_voltage_A, branch_2_meter_3:measured_voltage_A
2009-01-01 00:48:00 PST,+7297.01,-388.141,+7307.33-3.0448d,+7297.01,-388.141,+7269.06-3.6215d,+7265.65-4.25712d,+7228.22-4.83277d,+7207.06-6.08086d,+7170.86-6.65456d
2009-01-01 00:49:00 PST,+7125.65,-382.901,+7135.93-3.07586d,+7125.65,-382.901,+7099.7-3.64806d,+7096.06-4.29664d,+7060.65-4.86772d,+7040.15-6.13269d,+7005.93-6.70172d
2009-01-01 00:50:00 PST,+7316.11,-388.732,+7326.43-3.04147d,+7316.11,-388.731,+7287.95-3.61862d,+7284.55-4.25288d,+7246.91-4.82897d,+7225.66-6.07528d,+7189.26-6.64944d
2009-01-01 00:51:00 PST,+7542.17,-395.654,+7552.54-3.00292d,+7542.17,-395.654,+7511.39-3.5856d,+7508.27-4.2038d,+7467.99-4.78552d,+7445.85-6.01088d,+7406.85-6.59077d
2009-01-01 00:52:00 PST,+7168.05,-384.184,+7178.33-3.06793d,+7168.05,-384.184,+7141.58-3.64137d,+7138.02-4.28658d,+7102.09-4.85892d,+7081.44-6.11954d,+7046.72-6.68985d
2009-01-01 00:53:00 PST,+7266.77,-387.219,+7277.08-3.0502d,+7266.77,-387.219,+7239.18-3.6261d,+7235.72-4.26398d,+7198.66-4.83882d,+7177.6-6.08985d,+7141.76-6.66272d
2009-01-01 00:54:00 PST,+7213.7,-385.592,+7224-3.0597d,+7213.7,-385.592,+7186.72-3.63425d,+7183.2-4.27608d,+7146.76-4.84955d,+7125.92-6.10574d,+7090.68-6.6772d
2009-01-01 00:55:00 PST,+7715.8,-400.997,+7726.21-2.97503d,+7715.8,-400.997,+7683.05-3.56156d,+7680.1-4.16825d,+7637.85-4.75385d,+7614.97-5.96415d,+7574.03-6.54801d
2009-01-01 00:56:00 PST,+7691.14,-400.215,+7701.55-2.97875d,+7691.14,-400.215,+7658.64-3.56491d,+7655.7-4.17303d,+7613.69-4.75827d,+7590.95-5.97049d,+7550.26-6.55397d
2009-01-01 00:57:00 PST,+7442.3,-392.572,+7452.65-3.01948d,+7442.3,-392.572,+7412.64-3.59994d,+7409.43-4.22494d,+7370.29-4.80439d,+7348.57-6.03867d,+7310.69-6.61626d
2009-01-01 00:58:00 PST,+7347.44,-389.676,+7357.76-3.03587d,+7347.44,-389.675,+7318.88-3.61392d,+7315.55-4.24578d,+7277.52-4.82279d,+7256.17-6.066d,+7219.38-6.6411d
2009-01-01 00:59:00 PST,+7107.6,-382.347,+7117.88-3.07921d,+7107.6,-382.347,+7081.87-3.65093d,+7078.2-4.3009d,+7043.01-4.8715d,+7022.57-6.13828d,+6988.56-6.70681d
