# file...... output.csv
# date...... Thu Sep 03 17:42:37 2009
# user...... D3G637
# host...... (null)
# group..... class=house
# trigger... (none)
# interval.. -1
# limit..... 0
# property.. timestamp,sum(panel.power.real),sum(panel.power.imag)
2009-08-02 08:16:48 PDT,827.121,8.54344
2009-08-02 08:16:57 PDT,836.28,8.54344
2009-08-02 08:17:02 PDT,845.883,8.54344
2009-08-02 08:17:15 PDT,834.03,8.54344
2009-08-02 08:17:31 PDT,845.15,8.54344
2009-08-02 08:17:32 PDT,854.225,8.54344
2009-08-02 08:17:41 PDT,866.283,8.54344
2009-08-02 08:18:14 PDT,875.257,8.54344
2009-08-02 08:18:44 PDT,866.283,8.54344
2009-08-02 08:18:58 PDT,874.634,8.54344
2009-08-02 08:19:10 PDT,881.689,8.54344
2009-08-02 08:19:33 PDT,893.02,8.54344
2009-08-02 08:19:55 PDT,901.048,8.54344
2009-08-02 08:20:07 PDT,913.348,8.54344
2009-08-02 08:20:37 PDT,901.048,8.54344
2009-08-02 08:20:55 PDT,909.553,8.54344
2009-08-02 08:21:09 PDT,897.959,8.54344
2009-08-02 08:21:43 PDT,909.553,8.54344
2009-08-02 08:22:18 PDT,897.959,8.54344
2009-08-02 08:22:38 PDT,908.56,8.54344
2009-08-02 08:23:07 PDT,897.959,8.54344
2009-08-02 08:23:22 PDT,886.802,8.54344
2009-08-02 08:23:41 PDT,895.577,8.54344
2009-08-02 08:23:57 PDT,910.353,8.54344
2009-08-02 08:24:30 PDT,895.577,8.54344
2009-08-02 08:24:46 PDT,904.496,8.54344
2009-08-02 08:24:59 PDT,914.718,8.54344
2009-08-02 08:25:28 PDT,904.496,8.54344
2009-08-02 08:25:41 PDT,915.716,8.54344
2009-08-02 08:25:52 PDT,897.216,8.54344
2009-08-02 08:26:04 PDT,909.364,8.54344
2009-08-02 08:26:34 PDT,897.216,8.54344
2009-08-02 08:26:59 PDT,887.037,8.54344
2009-08-02 08:27:02 PDT,898.89,8.54344
2009-08-02 08:27:28 PDT,887.037,8.54344
2009-08-02 08:27:36 PDT,896.954,8.54344
2009-08-02 08:27:37 PDT,886.296,8.54344
2009-08-02 08:27:39 PDT,875.666,8.54344
2009-08-02 08:27:54 PDT,862.391,8.54344
2009-08-02 08:28:20 PDT,875.666,8.54344
2009-08-02 08:28:47 PDT,862.391,8.54344
2009-08-02 08:29:14 PDT,875.666,8.54344
2009-08-02 08:29:17 PDT,887.239,8.54344
2009-08-02 08:29:36 PDT,876.828,8.54344
2009-08-02 08:30:09 PDT,887.239,8.54344
2009-08-02 08:30:43 PDT,876.828,8.54344
2009-08-02 08:31:06 PDT,879.274,8.54344
2009-08-02 08:31:30 PDT,870.115,8.54344
2009-08-02 08:31:51 PDT,860.234,8.54344
2009-08-02 08:31:53 PDT,862.291,8.54344
2009-08-02 08:32:09 PDT,873.852,8.54344
2009-08-02 08:32:36 PDT,862.291,8.54344
2009-08-02 08:33:03 PDT,873.852,8.54344
2009-08-02 08:33:10 PDT,885.009,8.54344
2009-08-02 08:33:39 PDT,873.852,8.54344
2009-08-02 08:34:08 PDT,885.009,8.54344
2009-08-02 08:34:16 PDT,896.77,8.54344
2009-08-02 08:34:43 PDT,885.009,8.54344
2009-08-02 08:34:59 PDT,874.486,8.54344
2009-08-02 08:35:10 PDT,886.145,8.54344
2009-08-02 08:35:11 PDT,898.445,8.54344
2009-08-02 08:35:25 PDT,910.183,8.54344
2009-08-02 08:35:57 PDT,898.445,8.54344
2009-08-02 08:36:29 PDT,910.183,8.54344
2009-08-02 08:36:32 PDT,919.156,8.54344
2009-08-02 08:37:02 PDT,910.183,8.54344
2009-08-02 08:37:04 PDT,920.784,8.54344
2009-08-02 08:37:12 PDT,933.032,8.54344
2009-08-02 08:37:14 PDT,944.626,8.54344
2009-08-02 08:37:40 PDT,953.785,8.54344
2009-08-02 08:38:09 PDT,944.626,8.54344
2009-08-02 08:38:28 PDT,955.4,8.54344
2009-08-02 08:38:54 PDT,944.626,8.54344
2009-08-02 08:38:58 PDT,955.256,8.54344
2009-08-02 08:39:13 PDT,944.34,8.54344
2009-08-02 08:39:40 PDT,955.256,8.54344
2009-08-02 08:39:43 PDT,965.478,8.54344
2009-08-02 08:40:10 PDT,980.254,8.54344
2009-08-02 08:40:20 PDT,970.936,8.54344
2009-08-02 08:40:23 PDT,981.348,8.54344
2009-08-02 08:40:39 PDT,973.287,8.54344
2009-08-02 08:40:45 PDT,964.41,8.54344
2009-08-02 08:41:14 PDT,973.287,8.54344
2009-08-02 08:41:44 PDT,964.41,8.54344
2009-08-02 08:42:13 PDT,973.287,8.54344
2009-08-02 08:42:34 PDT,983.38,8.54344
2009-08-02 08:42:37 PDT,991.106,8.54344
2009-08-02 08:42:50 PDT,981.656,8.54344
2009-08-02 08:43:11 PDT,993.664,8.54344
2009-08-02 08:43:14 PDT,982.175,8.54344
2009-08-02 08:43:47 PDT,993.664,8.54344
2009-08-02 08:44:21 PDT,982.175,8.54344
2009-08-02 08:44:34 PDT,969.128,8.54344
2009-08-02 08:44:57 PDT,982.175,8.54344
2009-08-02 08:45:21 PDT,969.128,8.54344
2009-08-02 08:45:45 PDT,982.175,8.54344
2009-08-02 08:45:58 PDT,991.334,8.54344
2009-08-02 08:45:59 PDT,980.934,8.54344
2009-08-02 08:46:02 PDT,992.787,8.54344
2009-08-02 08:46:25 PDT,982.565,8.54344
2009-08-02 08:46:29 PDT,994.326,8.54344
2009-08-02 08:46:56 PDT,982.565,8.54344
2009-08-02 08:47:23 PDT,994.326,8.54344
2009-08-02 08:47:51 PDT,982.565,8.54344
2009-08-02 08:48:19 PDT,994.326,8.54344
2009-08-02 08:48:47 PDT,982.565,8.54344
2009-08-02 08:49:14 PDT,994.326,8.54344
2009-08-02 08:49:42 PDT,982.565,8.54344
2009-08-02 08:50:10 PDT,994.326,8.54344
2009-08-02 08:50:38 PDT,982.565,8.54344
2009-08-02 08:50:44 PDT,972.081,8.54344
2009-08-02 08:50:52 PDT,958.969,8.54344
2009-08-02 08:51:00 PDT,969.492,8.54344
2009-08-02 08:51:27 PDT,958.969,8.54344
2009-08-02 08:51:54 PDT,969.492,8.54344
2009-08-02 08:52:22 PDT,958.969,8.54344
2009-08-02 08:52:25 PDT,948.679,8.54344
2009-08-02 08:52:56 PDT,958.969,8.54344
2009-08-02 08:53:28 PDT,948.679,8.54344
2009-08-02 08:53:55 PDT,936.435,8.54344
2009-08-02 08:54:14 PDT,926.234,8.54344
2009-08-02 08:54:44 PDT,936.435,8.54344
2009-08-02 08:54:57 PDT,921.625,8.54344
2009-08-02 08:55:28 PDT,936.435,8.54344
2009-08-02 08:55:53 PDT,927.495,8.54344
2009-08-02 08:55:59 PDT,915.641,8.54344
2009-08-02 08:56:25 PDT,927.495,8.54344
2009-08-02 08:56:26 PDT,936.945,8.54344
2009-08-02 08:56:48 PDT,927.857,8.54344
2009-08-02 08:57:15 PDT,936.945,8.54344
2009-08-02 08:57:29 PDT,927.968,8.54344
2009-08-02 08:57:40 PDT,938.257,8.54344
2009-08-02 08:57:50 PDT,948.436,8.54344
2009-08-02 08:58:21 PDT,938.257,8.54344
2009-08-02 08:58:52 PDT,948.436,8.54344
2009-08-02 08:58:54 PDT,960.681,8.54344
2009-08-02 08:59:18 PDT,948.436,8.54344
2009-08-02 08:59:42 PDT,960.681,8.54344
2009-08-02 08:59:51 PDT,968.742,8.54344
2009-08-02 08:59:55 PDT,979.516,8.54344
2009-08-02 09:00:00 PDT,986.789,7.32295
2009-08-02 09:01:20 PDT,997.556,7.32295
2009-08-02 09:01:50 PDT,1009.16,7.32295
2009-08-02 09:03:00 PDT,1018.57,7.32295
2009-08-02 09:03:43 PDT,1028.56,7.32295
2009-08-02 09:05:33 PDT,1037.62,7.32295
2009-08-02 09:05:52 PDT,1047.95,7.32295
2009-08-02 09:06:20 PDT,1061.19,7.32295
2009-08-02 09:09:19 PDT,1070.26,7.32295
2009-08-02 09:09:26 PDT,1080.85,7.32295
2009-08-02 09:10:25 PDT,1092.73,7.32295
2009-08-02 09:12:51 PDT,1101.76,7.32295
2009-08-02 09:13:43 PDT,1112.39,7.32295
2009-08-02 09:13:49 PDT,1122.9,7.32295
2009-08-02 09:45:18 PDT,1107.69,7.32295
2009-08-02 10:00:00 PDT,1117.83,6.62553
2009-08-02 10:07:36 PDT,1133.2,6.62553
2009-08-02 11:00:00 PDT,1143.62,6.62553
2009-08-02 12:00:00 PDT,1154.16,6.45117
2009-08-02 13:00:00 PDT,1165.92,6.62553
2009-08-02 14:00:00 PDT,1169.85,7.49731
2009-08-02 15:00:00 PDT,1174.88,8.89215
2009-08-02 16:00:00 PDT,1180.29,10.4614
2009-08-02 17:00:00 PDT,1174.92,10.9844
