# file...... voltage_data.csv
# date...... Wed Sep 14 09:17:52 2016
# user...... hard312
# host...... (null)
# trigger... (none)
# interval.. 5
# limit..... 0
# timestamp,substation_reg:tap_A, substation_meter:measured_voltage_A, feeder_meter:measured_voltage_A, branch_1_meter_1:measured_voltage_A, branch_1_meter_2:measured_voltage_A, branch_1_meter_3:measured_voltage_A, b1m1_house_meter:voltage_1, b1m2_house_meter:voltage_1, b1m3_house_meter:voltage_1
2009-08-08 04:33:05 PDT,-1,+7216-0.000143876d,+7171.18-0.000143999d,+7155.51-0.177841d,+7153.44-0.213578d,+7149.22-0.275227d,+123.204-0.248663d,+123.197-0.235771d,+123.127-0.300458d
2009-08-08 04:33:10 PDT,-1,+7216-0.000143876d,+7171.18-0.000143999d,+7155.51-0.177841d,+7153.44-0.213578d,+7149.22-0.275227d,+123.204-0.248663d,+123.197-0.235771d,+123.127-0.300458d
2009-08-08 04:33:15 PDT,-1,+7216-0.000143876d,+7171.18-0.000143999d,+7155.51-0.177841d,+7153.44-0.213578d,+7149.22-0.275228d,+123.204-0.248663d,+123.197-0.235771d,+123.127-0.300458d
2009-08-08 04:33:20 PDT,-1,+7216-0.000143876d,+7171.18-0.000144d,+7155.51-0.177842d,+7153.44-0.213578d,+7149.22-0.275228d,+123.204-0.248663d,+123.197-0.235771d,+123.127-0.300458d
2009-08-08 04:33:25 PDT,-1,+7216-0.000143876d,+7171.18-0.000144d,+7155.51-0.177842d,+7153.44-0.213578d,+7149.22-0.275228d,+123.204-0.248663d,+123.197-0.235771d,+123.127-0.300458d
2009-08-08 04:33:30 PDT,-1,+7216-0.000143876d,+7171.18-0.000144d,+7155.51-0.177842d,+7153.44-0.213578d,+7149.22-0.275228d,+123.204-0.248664d,+123.197-0.235771d,+123.127-0.300458d
2009-08-08 04:33:35 PDT,-1,+7216-0.000143876d,+7171.18-0.000144d,+7155.51-0.177842d,+7153.44-0.213578d,+7149.22-0.275228d,+123.204-0.248664d,+123.197-0.235771d,+123.127-0.300458d
2009-08-08 04:33:40 PDT,-1,+7216-0.000143876d,+7171.18-0.000144d,+7155.51-0.177842d,+7153.44-0.213579d,+7149.22-0.275228d,+123.204-0.248664d,+123.197-0.235772d,+123.127-0.300458d
2009-08-08 04:33:45 PDT,-1,+7216-0.000143876d,+7171.18-0.000144d,+7155.51-0.177842d,+7153.44-0.213579d,+7149.22-0.275228d,+123.204-0.248664d,+123.197-0.235772d,+123.127-0.300459d
2009-08-08 04:33:50 PDT,-1,+7216-0.000143876d,+7171.18-0.000144d,+7155.51-0.177842d,+7153.44-0.213579d,+7149.22-0.275228d,+123.204-0.248664d,+123.197-0.235772d,+123.127-0.300459d
