# file...... branch_2_meters.csv
# date...... Tue Aug  2 12:44:14 2016
# user...... hard312
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,branch_2_meter_1:measured_voltage_A, branch_2_meter_1:measured_current_A, branch_2_meter_1:measured_power_A, branch_2_meter_2:measured_voltage_A, branch_2_meter_2:measured_current_A, branch_2_meter_2:measured_power_A, branch_2_meter_3:measured_voltage_A, branch_2_meter_3:measured_current_A, branch_2_meter_3:measured_power_A
2009-01-01 00:35:00 PST,+7431.96-0.0465549d,+44.0129-17.1856j,+351154+21.2825d,+7357.14-0.176552d,+44.0129-17.1856j,+347618+21.1525d,+7285.41-0.560085d,+11.1341-12.4629j,+121754+47.663d
2009-01-01 00:36:00 PST,+7314.17-0.0480444d,+44.7359-17.4794j,+351296+21.2937d,+7238.1-0.182243d,+44.7359-17.4794j,+347642+21.1595d,+7165.16-0.578625d,+11.3168-12.6757j,+121754+47.663d
2009-01-01 00:37:00 PST,+7681.63-0.0436172d,+42.5559-16.5952j,+350876+21.2603d,+7609.3-0.165336d,+42.5559-16.5952j,+347572+21.1386d,+7540-0.523637d,+10.7658-12.0352j,+121754+47.663d
2009-01-01 00:38:00 PST,+7908.04-0.041186d,+41.3164-16.0946j,+350647+21.242d,+7837.83-0.156061d,+41.3164-16.0946j,+347533+21.1271d,+7770.6-0.493592d,+10.4524-11.6726j,+121754+47.663d
2009-01-01 00:39:00 PST,+7664.96-0.0438047d,+42.6502-16.6333j,+350893+21.2617d,+7592.46-0.166051d,+42.6502-16.6333j,+347575+21.1394d,+7523.01-0.525958d,+10.7896-12.0628j,+121754+47.663d
2009-01-01 00:40:00 PST,+7702.72-0.0433818d,+42.4373-16.5472j,+350853+21.2585d,+7630.59-0.164437d,+42.4373-16.5472j,+347568+21.1374d,+7561.5-0.520723d,+10.7358-12.0005j,+121754+47.663d
2009-01-01 00:41:00 PST,+7437.03-0.0464924d,+43.9823-17.1732j,+351148+21.282d,+7362.26-0.176313d,+43.9823-17.1732j,+347617+21.1522d,+7290.58-0.559307d,+11.1264-12.4539j,+121754+47.663d
2009-01-01 00:42:00 PST,+7554.6-0.0450763d,+43.2849-16.8903j,+351014+21.2713d,+7481.02-0.170905d,+43.2849-16.8903j,+347595+21.1454d,+7410.5-0.541719d,+10.9501-12.249j,+121754+47.663d
2009-01-01 00:43:00 PST,+7700.65-0.0434049d,+42.4489-16.5519j,+350856+21.2587d,+7628.5-0.164525d,+42.4489-16.5519j,+347568+21.1375d,+7559.39-0.521008d,+10.7387-12.0039j,+121754+47.663d
2009-01-01 00:44:00 PST,+7685.18-0.0435776d,+42.536-16.5871j,+350872+21.26d,+7612.88-0.165184d,+42.536-16.5871j,+347571+21.1384d,+7543.61-0.523146d,+10.7607-12.0294j,+121754+47.663d
2009-01-01 00:45:00 PST,+7368.84-0.0473444d,+44.3974-17.3418j,+351229+21.2884d,+7293.36-0.179568d,+44.3974-17.3418j,+347631+21.1562d,+7220.99-0.569906d,+11.2313-12.576j,+121754+47.663d
2009-01-01 00:46:00 PST,+7510.83-0.0455958d,+43.5419-16.9945j,+351063+21.2752d,+7436.81-0.172889d,+43.5419-16.9945j,+347603+21.1479d,+7365.87-0.548168d,+11.015-12.3245j,+121754+47.663d
2009-01-01 00:47:00 PST,+7326.27-0.0478881d,+44.6605-17.4487j,+351281+21.2926d,+7250.33-0.181646d,+44.6605-17.4487j,+347640+21.1588d,+7177.52-0.576678d,+11.2978-12.6535j,+121754+47.663d
2009-01-01 00:48:00 PST,+7387.32-0.0471112d,+44.2841-17.2957j,+351207+21.2867d,+7312.03-0.178677d,+44.2841-17.2957j,+347627+21.1551d,+7239.85-0.567004d,+11.2026-12.5427j,+121754+47.663d
2009-01-01 00:49:00 PST,+7211.84-0.0493967d,+45.3837-17.7431j,+351425+21.304d,+7134.67-0.187412d,+45.3837-17.7431j,+347664+21.166d,+7060.64-0.595494d,+11.4806-12.8667j,+121754+47.663d
2009-01-01 00:50:00 PST,+7406.89-0.0468661d,+44.1648-17.2473j,+351183+21.2848d,+7331.8-0.177741d,+44.1648-17.2473j,+347623+21.1539d,+7259.82-0.563955d,+11.1725-12.5076j,+121754+47.663d
2009-01-01 00:51:00 PST,+7638.36-0.0441062d,+42.8014-16.6945j,+350922+21.264d,+7565.61-0.167202d,+42.8014-16.6945j,+347579+21.1409d,+7495.9-0.529692d,+10.8278-12.1072j,+121754+47.663d
2009-01-01 00:52:00 PST,+7255.24-0.0488164d,+45.1067-17.6303j,+351369+21.2996d,+7178.54-0.185193d,+45.1067-17.6303j,+347655+21.1632d,+7104.98-0.58825d,+11.4105-12.785j,+121754+47.663d
2009-01-01 00:53:00 PST,+7356.36-0.0475028d,+44.4742-17.373j,+351244+21.2896d,+7280.74-0.180173d,+44.4742-17.373j,+347634+21.157d,+7208.24-0.571879d,+11.2507-12.5986j,+121754+47.663d
2009-01-01 00:54:00 PST,+7302.01-0.0482022d,+44.8119-17.5103j,+351311+21.2949d,+7225.82-0.182846d,+44.8119-17.5103j,+347645+21.1603d,+7152.75-0.580591d,+11.336-12.6981j,+121754+47.663d
2009-01-01 00:55:00 PST,+7816.18-0.0421475d,+41.8104-16.2939j,+350737+21.2492d,+7745.12-0.159728d,+41.8104-16.2939j,+347549+21.1316d,+7677.07-0.505461d,+10.5773-11.817j,+121754+47.663d
2009-01-01 00:56:00 PST,+7790.89-0.042418d,+41.9485-16.3497j,+350763+21.2512d,+7719.6-0.16076d,+41.9485-16.3497j,+347553+21.1329d,+7651.32-0.508803d,+10.6122-11.8574j,+121754+47.663d
2009-01-01 00:57:00 PST,+7536.07-0.0452952d,+43.3933-16.9343j,+351034+21.2729d,+7462.3-0.171741d,+43.3933-16.9343j,+347598+21.1465d,+7391.61-0.544436d,+10.9775-12.2808j,+121754+47.663d
2009-01-01 00:58:00 PST,+7438.94-0.0464689d,+43.9708-17.1685j,+351146+21.2818d,+7364.19-0.176223d,+43.9708-17.1685j,+347617+21.152d,+7292.53-0.559015d,+11.1234-12.4505j,+121754+47.663d
2009-01-01 00:59:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:00:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:01:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:02:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:03:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:04:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:05:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:06:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:07:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:08:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:09:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:10:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:11:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:12:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:13:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:14:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:15:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:16:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:17:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:18:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:19:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:20:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:21:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:22:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:23:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:24:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:25:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:26:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:27:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:28:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:29:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:30:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:31:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:32:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:33:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:34:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:35:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:36:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:37:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:38:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:39:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:40:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:41:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:42:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:43:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:44:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:45:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:46:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:47:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:48:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:49:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:50:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
